"Data","Investor Obligacji kat. A","Investor Obligacji kat. I","Investor Obligacji kat. P"
"1998-01-05",100.0,"",""
"1998-01-06",100.0,"",""
"1998-01-07",100.0,"",""
"1998-01-08",100.13,"",""
"1998-01-09",100.19,"",""
"1998-01-12",100.23,"",""
"1998-01-13",100.41,"",""
"1998-01-14",100.47,"",""
"1998-01-15",100.53,"",""
"1998-01-16",100.58,"",""
"1998-01-19",100.75,"",""
"1998-01-20",100.81,"",""
"1998-01-21",100.87,"",""
"1998-01-22",100.92,"",""
"1998-01-23",100.98,"",""
"1998-01-26",101.15,"",""
"1998-01-27",101.21,"",""
"1998-01-28",101.21,"",""
"1998-01-29",101.29,"",""
"1998-01-30",101.4,"",""
"1998-02-02",101.49,"",""
"1998-02-03",101.48,"",""
"1998-02-04",101.57,"",""
"1998-02-05",101.69,"",""
"1998-02-06",101.81,"",""
"1998-02-09",101.92,"",""
"1998-02-10",102.0,"",""
"1998-02-11",102.11,"",""
"1998-02-12",102.12,"",""
"1998-02-13",102.17,"",""
"1998-02-16",102.35,"",""
"1998-02-17",102.44,"",""
"1998-02-18",102.47,"",""
"1998-02-19",102.56,"",""
"1998-02-20",102.62,"",""
"1998-02-23",102.79,"",""
"1998-02-24",102.85,"",""
"1998-02-25",102.89,"",""
"1998-02-26",102.95,"",""
"1998-02-27",103.02,"",""
"1998-03-02",103.11,"",""
"1998-03-03",103.2,"",""
"1998-03-04",103.31,"",""
"1998-03-05",103.34,"",""
"1998-03-06",103.42,"",""
"1998-03-09",103.44,"",""
"1998-03-10",103.57,"",""
"1998-03-11",103.59,"",""
"1998-03-12",103.7,"",""
"1998-03-13",103.76,"",""
"1998-03-16",103.92,"",""
"1998-03-17",103.98,"",""
"1998-03-18",104.03,"",""
"1998-03-19",104.06,"",""
"1998-03-20",104.11,"",""
"1998-03-23",104.28,"",""
"1998-03-24",104.21,"",""
"1998-03-25",104.33,"",""
"1998-03-26",104.39,"",""
"1998-03-27",104.46,"",""
"1998-03-30",104.6,"",""
"1998-03-31",104.65,"",""
"1998-04-01",104.72,"",""
"1998-04-02",104.82,"",""
"1998-04-06",105.06,"",""
"1998-04-07",105.1,"",""
"1998-04-08",105.12,"",""
"1998-04-09",105.19,"",""
"1998-04-14",105.48,"",""
"1998-04-15",105.52,"",""
"1998-04-16",105.57,"",""
"1998-04-17",105.62,"",""
"1998-04-20",105.82,"",""
"1998-04-21",105.88,"",""
"1998-04-22",105.92,"",""
"1998-04-23",105.99,"",""
"1998-04-24",106.04,"",""
"1998-04-27",106.21,"",""
"1998-05-20",107.49,"",""
"1998-05-21",107.55,"",""
"1998-05-22",107.6,"",""
"1998-05-25",107.74,"",""
"1998-05-26",107.79,"",""
"1998-05-27",107.94,"",""
"1998-05-28",108.01,"",""
"1998-05-29",108.08,"",""
"1998-06-01",108.24,"",""
"1998-06-02",108.3,"",""
"1998-06-03",108.35,"",""
"1998-06-04",108.39,"",""
"1998-06-05",108.44,"",""
"1998-06-08",108.6,"",""
"1998-06-09",108.64,"",""
"1998-06-10",108.68,"",""
"1998-06-15",108.95,"",""
"1998-06-16",108.99,"",""
"1998-06-17",109.04,"",""
"1998-06-18",109.09,"",""
"1998-06-19",109.13,"",""
"1998-06-22",109.3,"",""
"1998-06-23",109.35,"",""
"1998-06-24",109.43,"",""
"1998-06-25",109.48,"",""
"1998-06-26",109.53,"",""
"1998-06-29",109.7,"",""
"1998-06-30",110.45,"",""
"1998-07-01",110.5,"",""
"1998-07-02",110.57,"",""
